,名称,月销售量,配送费,起送价,风味,评分,配送时长,评分统计,距离,地址
101,百味美食（武生店）,457,2.0,10,地方小吃,4.5,40,74,889,武汉市新洲区阳逻街汉施路特1号（武生院内）
102,百草味零食天地（武生院店）,71,0.0,20,零食,4.1,37,23,1005,武汉市新洲区阳逻街武生院商业街A120号
103,百草味零食天地（武生院店）,71,0.0,20,零食,4.1,37,23,1005,武汉市新洲区阳逻街武生院商业街A120号
104,合味道(武生店),787,0.0,0,川湘菜,4.3,37,19,829,武汉是新洲区阳逻街汉施路1号武生院东区商业街C165号
105,梅花七(武生店),131,0.0,10,西餐,4.5,37,18,495,武汉市新洲区阳逻街汉施路1号武汉生物工程学院商业街A209
106,韩式石锅拌饭(武生店),401,1.0,14,简餐,4.5,34,28,622,武汉市新洲区阳逻街汉施路特1号武生院商业街B141号
107,福莱德烤肉饭脆皮饭,297,2.0,10,简餐,4.6,34,20,882,武汉市新洲区阳逻街桥头村长河西路4-71号
108,喵先生烤肉饭(武生店),553,1.0,5,简餐,4.5,37,59,874,武汉市新洲区阳逻街汉施路特1号武生院商业街西区14-B号
109,娜美客披萨（武生店）,229,1.0,15,披萨意面,4.7,37,19,698,武汉市新洲区阳逻街武湖村1栋15-16号门面
110,开心炒饭（武生店）,178,2.0,8,简餐,3.9,37,11,924,武汉市新洲区阳逻街桥头村八组武湖惠民农贸综合市场1栋18号
111,湖南米粉小笼包(武生店),338,2.0,10,米粉面馆,4.7,37,54,1264,武汉市新洲区阳逻街道武生院内
112,湖南米粉小笼包(武生店),338,2.0,10,米粉面馆,4.7,37,54,1264,武汉市新洲区阳逻街道武生院内
113,面霸(武生店),743,2.0,10,米粉面馆,4.6,37,78,654,武汉市新洲区阳逻街汉施路1号武生院东区商业街B206号
114,精菜坊百味鸡饭（武生店）,2334,1.0,0,简餐,4.6,37,213,661,武汉市新洲区阳逻街武湖汉施公路1号东街美食城B栋1层8号
115,郭记站大排（武生店）,276,1.0,10,地方小吃,4.6,37,43,1005,武汉市新洲区阳逻街桥头村长河西路450号
116,十里香排骨(排骨饭武生店),1589,0.0,0,地方小吃,4.6,37,210,945,武汉市新洲区阳逻街汉施路特1号武生院西区商业街2号
117,伊味儿吃货店(武生店),63,1.0,15,休闲零食,4.9,37,3,582,武汉市新洲区阳逻街汉施路1号武生院中区商业街11号
118,忆味鲜,300,2.0,10,简餐,4.0,35,68,955,武汉市新洲区阳逻街桥头村六组43-1号
119,刘妈烫饭(武生店),178,1.0,10,简餐,4.7,32,18,608,武汉市新洲区汉施大道特1号武汉生物工程学院商业街C区163号
120,陈记片皮鸭(武生店),545,1.0,8,地方小吃,4.9,35,43,911,武汉市新洲区阳逻街桥头村5组450号
121,陈记片皮鸭(武生店),545,1.0,8,地方小吃,4.9,35,43,911,武汉市新洲区阳逻街桥头村5组450号
122,今点食汇（武生店）,2905,0.0,0,盖浇饭,4.5,37,158,622,武汉市新洲区阳逻街汉施路特1号武生院商业街B210
